account_id,year_and_month,mrr_amount,previous_mrr,movement_type
A-00bed1,2023-01,0.0,,Inactive
A-00bed1,2023-02,0.0,0.0,NoChange
A-00bed1,2023-03,0.0,0.0,NoChange
A-00bed1,2023-04,0.0,0.0,NoChange
A-00bed1,2023-05,0.0,0.0,NoChange
A-00bed1,2023-06,0.0,0.0,NoChange
A-00bed1,2023-07,0.0,0.0,NoChange
A-00bed1,2023-08,0.0,0.0,NoChange
A-00bed1,2023-09,0.0,0.0,NoChange
A-00bed1,2023-10,0.0,0.0,NoChange
A-00bed1,2023-11,1159.0,0.0,New
A-00bed1,2023-12,0.0,1159.0,Churn
A-00bed1,2024-01,0.0,0.0,NoChange
A-00bed1,2024-02,0.0,0.0,NoChange
A-00bed1,2024-03,0.0,0.0,NoChange
A-00bed1,2024-04,1372.0,0.0,New
A-00bed1,2024-05,15323.0,1372.0,Expansion
A-00bed1,2024-06,0.0,15323.0,Churn
A-00bed1,2024-07,6944.0,0.0,New
A-00bed1,2024-08,3136.0,6944.0,Contraction
A-00bed1,2024-09,5572.0,3136.0,Expansion
A-00bed1,2024-10,0.0,5572.0,Churn
A-00bed1,2024-11,0.0,0.0,NoChange
A-00bed1,2024-12,0.0,0.0,NoChange
A-00cac8,2023-01,0.0,,Inactive
A-00cac8,2023-02,0.0,0.0,NoChange
A-00cac8,2023-03,0.0,0.0,NoChange
A-00cac8,2023-04,0.0,0.0,NoChange
A-00cac8,2023-05,0.0,0.0,NoChange
A-00cac8,2023-06,0.0,0.0,NoChange
A-00cac8,2023-07,0.0,0.0,NoChange
A-00cac8,2023-08,0.0,0.0,NoChange
A-00cac8,2023-09,392.0,0.0,New
A-00cac8,2023-10,0.0,392.0,Churn
A-00cac8,2023-11,0.0,0.0,NoChange
A-00cac8,2023-12,361.0,0.0,New
A-00cac8,2024-01,0.0,361.0,Churn
A-00cac8,2024-02,0.0,0.0,NoChange
A-00cac8,2024-03,152.0,0.0,New
A-00cac8,2024-04,0.0,152.0,Churn
A-00cac8,2024-05,0.0,0.0,NoChange
A-00cac8,2024-06,0.0,0.0,NoChange
A-00cac8,2024-07,0.0,0.0,NoChange
A-00cac8,2024-08,7913.0,0.0,New
A-00cac8,2024-09,392.0,7913.0,Contraction
A-00cac8,2024-10,3980.0,392.0,Expansion
A-00cac8,2024-11,0.0,3980.0,Churn
A-00cac8,2024-12,931.0,0.0,New
A-0158bb,2023-01,0.0,,Inactive
A-0158bb,2023-02,0.0,0.0,NoChange
A-0158bb,2023-03,0.0,0.0,NoChange
A-0158bb,2023-04,0.0,0.0,NoChange
A-0158bb,2023-05,0.0,0.0,NoChange
A-0158bb,2023-06,0.0,0.0,NoChange
A-0158bb,2023-07,0.0,0.0,NoChange
A-0158bb,2023-08,0.0,0.0,NoChange
A-0158bb,2023-09,0.0,0.0,NoChange
A-0158bb,2023-10,0.0,0.0,NoChange
A-0158bb,2023-11,0.0,0.0,NoChange
A-0158bb,2023-12,0.0,0.0,NoChange
A-0158bb,2024-01,0.0,0.0,NoChange
A-0158bb,2024-02,0.0,0.0,NoChange
A-0158bb,2024-03,0.0,0.0,NoChange
A-0158bb,2024-04,0.0,0.0,NoChange
A-0158bb,2024-05,0.0,0.0,NoChange
A-0158bb,2024-06,836.0,0.0,New
A-0158bb,2024-07,0.0,836.0,Churn
